event_slug,timestamp_ms,timestamp_iso,timestamp_est,event_type,price,size,size_change,side,best_bid,best_ask,is_winning_token,outcome,time_since_ticker_change_ms,ticker_changed_recently,old_tick_size,new_tick_size,market_resolved,error_message,raw_slug,condition_id,token_id
btc-5min-up-or-down-2026-02-24-17:45,1771973373215,2026-02-24 22:49:33,2026-02-24 17:49:33,ask,0.99,232.91,5.0,ASK,0.93,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973373257,2026-02-24 22:49:33,2026-02-24 17:49:33,ask,0.99,237.91,5.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973373374,2026-02-24 22:49:33,2026-02-24 17:49:33,ask,0.99,369.98,132.07000000000002,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973373589,2026-02-24 22:49:33,2026-02-24 17:49:33,ask,0.99,444.98,75.0,ASK,0.94,0.96,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973373668,2026-02-24 22:49:33,2026-02-24 17:49:33,ask,0.99,459.98,15.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
eth-5min-up-or-down-2026-02-24-17:45,1771973375220,2026-02-24 22:49:35,2026-02-24 17:49:35,ask,0.99,1255.77,27.25,ASK,0.88,0.94,false,Up,-1,false,,,false,,eth-updown-5m-1771973100,0xb6458e56bb176f8780e37acef971e0b0684af77a6ed3331a93efd895e3da24fc,66097759672793141180105802017913776486538303125733048549617539466105128912753
btc-5min-up-or-down-2026-02-24-17:45,1771973375442,2026-02-24 22:49:35,2026-02-24 17:49:35,ask,0.99,457.98,73.0,ASK,0.93,0.95,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973376073,2026-02-24 22:49:36,2026-02-24 17:49:36,ask,0.99,400.98,10.0,ASK,0.96,0.97,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973376298,2026-02-24 22:49:36,2026-02-24 17:49:36,ask,0.99,405.98,5.0,ASK,0.96,0.97,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
eth-5min-up-or-down-2026-02-24-17:40,1771973378198,2026-02-24 22:49:38,2026-02-24 17:49:38,market_resolved,,,,,,,false,Up,,false,,,true,,eth-updown-5m-1771972800,0x09dce4a1bee75ca541dc4d513a185fcaf592bf227624dec44dc4ceaaab5f36a3,84242212020412964142853578077006528940430390545512304807864800775007301468463
eth-5min-up-or-down-2026-02-24-17:40,1771973378199,2026-02-24 22:49:38,2026-02-24 17:49:38,market_resolved,,,,,,,true,Down,,false,,,true,,eth-updown-5m-1771972800,0x09dce4a1bee75ca541dc4d513a185fcaf592bf227624dec44dc4ceaaab5f36a3,58512338622378114645384371761429969189632822213279196931271238032985931001015
sol-5min-up-or-down-2026-02-24-17:40,1771973378489,2026-02-24 22:49:38,2026-02-24 17:49:38,market_resolved,,,,,,,false,Up,180909,false,,,true,,sol-updown-5m-1771972800,0xd981ac8205e7f09f592ee8454e5c7815e067e3624a69128d026e8eb4fb573ae1,109322744116424232387878045705433943166473784794050586659571255121662446714331
sol-5min-up-or-down-2026-02-24-17:40,1771973378489,2026-02-24 22:49:38,2026-02-24 17:49:38,market_resolved,,,,,,,true,Down,180909,false,,,true,,sol-updown-5m-1771972800,0xd981ac8205e7f09f592ee8454e5c7815e067e3624a69128d026e8eb4fb573ae1,56378947193731810779326914543698091803232716238370997780221368100217939210003
btc-5min-up-or-down-2026-02-24-17:45,1771973376986,2026-02-24 22:49:40,2026-02-24 17:49:40,ask,0.99,468.98,63.0,ASK,0.91,0.97,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
