id,timestamp,timestamp_iso,timestamp_est,wallet,side,price,size,usdc_value,asset,condition_id,outcome,event_slug,transaction_hash,fee_rate,expiry_ts,is_post_expiry
,1772548827,2026-03-03 14:40:27,2026-03-03 09:40:27,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.82,1.81818,38659373216306219523889372368944003900962325918447969881056131979028998287829,0x3c746e70857337580693b8c282c76bf71c9ffae23b79ed0e648e291b08e9cf57,Up,xrp-5min-up-or-down-2026-03-03-09:35,0xcda42c4d6e410221c8463d6b484ab53d93b38da22580b82fb50483720085869a,,1772548800,True
,1772548801,2026-03-03 14:40:01,2026-03-03 09:40:01,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,96913558516636423383601059597924122633180515813410732205507074945806161278154,0xf79236a996ce547a610173f8231b362dd2bd08a1e912bf35fd41ee2959356516,Up,sol-5min-up-or-down-2026-03-03-09:35,0x8c77ff34f2936a2585b5bac9814df42fccb90bbb45639fafe1beb577560dad32,,1772548800,True
,1772548791,2026-03-03 14:39:51,2026-03-03 09:39:51,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,51843969240379128742082723278673233899607329990190616063657833999642511067598,0x0b754151def928cfda39fa5348992a91db336838ef78c2c2831766b841e2315b,Up,btc-5min-up-or-down-2026-03-03-09:35,0xfbef1c4bededc7c84efd2e4dd84a577b7e4d8d015131ea4f1c803c9acfbc6fa5,,1772548800,False
,1772548787,2026-03-03 14:39:47,2026-03-03 09:39:47,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,17332919509986800162079109194607354061717410909305985100789479708097042815770,0x64d025e109020fa92a72db8dbbd779d8c6eeea50b788a9717e3900c75d48099e,Up,eth-5min-up-or-down-2026-03-03-09:35,0xaef1374dbb66a975f525c3b14952e43c092581a4e19dfcd9e2247c64ed78a2b5,,1772548800,False
,1772547265,2026-03-03 14:14:25,2026-03-03 09:14:25,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.995,5.0,4.975,50915378016480449486972103396616985786604123823359720236313271971778926492749,0x1d12d7367ff595b01b5f103ff3c46255f2a9579fc30c9768fc0e4f8edc0f055f,Up,sol-15min-up-or-down-2026-03-03-09:00,0x78f279d15e465318a1545c4dae07916ff573438f73c556e73cde3edfa939b628,,1772547300,False
,1772545429,2026-03-03 13:43:49,2026-03-03 08:43:49,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,14042524315438348596501835454524610414871853731826232738323772854314331910453,0x37d5ce19d7a137f4c2bf4e2ff07ce9be06f8bf69c21908ccfd21ebf74b251414,Down,sol-15min-up-or-down-2026-03-03-08:30,0x626bac4986e8b9443f91a67db4316deb95e79d4d839933f4f5d8be23ddc48934,,1772545500,False
,1772528359,2026-03-03 08:59:19,2026-03-03 03:59:19,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,59112741211135259865723332170078104612552047860508594767242163179773337337202,0x41725ce82e898a39bffefbd1d0c4de8d4bee779ee7f0c93c67e75d9f2340ca55,Down,sol-15min-up-or-down-2026-03-03-03:45,0x5c1eacaf91fb03007c77c1b4464e540717139db81cf32d633eabecbc24de7ea4,,1772528400,False
,1772521211,2026-03-03 07:00:11,2026-03-03 02:00:11,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,68818125275891282280239032543448593724496516865768370854377948216607643085742,0x3be9aea0298c454da440a7a79442857aaa6f09baca26525e296d5d3b90ea4ac9,Up,sol-15min-up-or-down-2026-03-03-01:45,0xd601b11485598c957994b3e09e1dfd21755ecc9101aedea53367ba4c24aec522,,1772521200,True
,1772521161,2026-03-03 06:59:21,2026-03-03 01:59:21,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.5,1.4985,27609381264137005444970652903422036931608943400524494042779002268164560049226,0xa43abfacad614a89c8d8b17ddb4593e32218a8ccc038937b04ee4b0e5d0cc191,Up,eth-15min-up-or-down-2026-03-03-01:45,0x99371e23f32ee591d06cab881e0f9bf1e18df20ac326abe722c50fd29d359b40,,1772521200,False
,1772521159,2026-03-03 06:59:19,2026-03-03 01:59:19,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,47816443828175769222716491631035209957719460321068802358645919054878554595448,0xf36c509ff1971a0e45df43ad83c2182bde5ae66c14e7f8c814bc0b71436fbb8e,Up,btc-15min-up-or-down-2026-03-03-01:45,0xbece56e50f25d406e29a99ae0731c7dbf66c5e5b732948f5eca3c59b46af8083,,1772521200,False
,1772521159,2026-03-03 06:59:19,2026-03-03 01:59:19,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.5,3.4965,27609381264137005444970652903422036931608943400524494042779002268164560049226,0xa43abfacad614a89c8d8b17ddb4593e32218a8ccc038937b04ee4b0e5d0cc191,Up,eth-15min-up-or-down-2026-03-03-01:45,0xa8913e9254a2933eeef91971dc7cb03d18711b922487e8105436c03f6e8ac386,,1772521200,False
,1772519427,2026-03-03 06:30:27,2026-03-03 01:30:27,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,103815330318866785421409343905015836486583005254706291624807263764648844754677,0x2550b35f46e25ad737d744bda9bb707f9ca1a7e2afc0b5aaa33ffac771de7478,Down,xrp-15min-up-or-down-2026-03-03-01:15,0xba6946a663f6ac48881317af23209cb68c52a952d3d57fa0415335349335c7f2,,1772519400,True
,1772517983,2026-03-03 06:06:23,2026-03-03 01:06:23,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,2.7,2.6973,38136587042942298685141264199930994862104323564077998062469480250347253355705,0xc42dd2a7bd6d76ecd2646be49b2ddc63879816fc0054ce9e5aa9d2f54176b7bd,Up,sol-5min-up-or-down-2026-03-03-01:00,0xb988fa55208ab64328af201c8816bfe44661924717fec8eceb9bbb2b013c464f,,1772517900,True
,1772517971,2026-03-03 06:06:11,2026-03-03 01:06:11,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,2.3,2.2977,38136587042942298685141264199930994862104323564077998062469480250347253355705,0xc42dd2a7bd6d76ecd2646be49b2ddc63879816fc0054ce9e5aa9d2f54176b7bd,Up,sol-5min-up-or-down-2026-03-03-01:00,0x8391e28d50f6523966d45cb7a6a5b11c9cceda791edfb4c8a4e153c5c3691a35,,1772517900,True
,1772516123,2026-03-03 05:35:23,2026-03-03 00:35:23,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.75,3.74625,93597237923055821646462378790419570771041658741656867517898037245360035915968,0x577c69db7e8ced6a3b18dafaf39698d27116184d01ad244b669c886c70ad2ee5,Down,eth-5min-up-or-down-2026-03-03-00:30,0x9e1a91f01bc8cfd8720863fed32f35b393dc0c932c5d0b5372ea36f6c7ff1ad8,,1772516100,True
,1772516113,2026-03-03 05:35:13,2026-03-03 00:35:13,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.25,1.24875,93597237923055821646462378790419570771041658741656867517898037245360035915968,0x577c69db7e8ced6a3b18dafaf39698d27116184d01ad244b669c886c70ad2ee5,Down,eth-5min-up-or-down-2026-03-03-00:30,0x27821e34984e97a656d9e6f2d83c211196a36b710ae9963c1194dfe9eb28f3d8,,1772516100,True
,1772516093,2026-03-03 05:34:53,2026-03-03 00:34:53,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,19651464819134668342319743956604439170760387914898699352475878168895745856889,0x23e40d87d42aedc54a536ee13e928b9b369a792bc0bbad18799a59d3917d7d04,Down,sol-5min-up-or-down-2026-03-03-00:30,0x9a13b7452ac7460936137901976fd7a8e1bfd3997dd2f0c5f9aa0df761ab9ee7,,1772516100,False
